Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
17250,NIGDE,1974,9,4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1974,10,4.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1974,11,-6.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1974,12,-14,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,1,-14.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,2,-20.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,3,-11.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,4,1.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,5,2.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,6,7.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,7,9.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,8,7.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,9,4.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,10,-1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,11,-7.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1975,12,-12.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,1,-15,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,2,-17.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,3,-14.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,4,-0.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,5,3.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,6,5.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,7,9.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,8,7.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,9,3.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,10,2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,11,-1.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1976,12,-6.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,1,-16.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,2,-5.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,3,-8.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,4,-0.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,5,3.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,6,6.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1977,7,9.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
